id_pedido,id_cliente,data_pedido,status_pedido,canal_venda,forma_pagamento
38,426,2025-12-18,Em andamento,Marketplace,Boleto
39,140,2025-04-08,Concluído,Site,Pix
40,400,2024-05-19,Em andamento,Site,Pix
41,85,2024-04-18,Concluído,Loja física,Boleto
42,62,2025-02-20,Concluído,Marketplace,Pix
43,158,2025-04-07,Concluído,Marketplace,Cartão de crédito
44,81,2024-04-02,Cancelado,Marketplace,Cartão de crédito
45,428,2024-08-08,Concluído,App,Cartão de crédito
46,128,2025-12-29,Concluído,Loja física,Cartão de crédito
47,154,2025-11-24,Concluído,App,Cartão de crédito
48,438,2025-02-18,Concluído,App,Cartão de crédito
49,53,2025-04-18,Concluído,Site,Cartão de crédito
50,426,2024-03-04,Em andamento,App,Pix
51,422,2024-07-21,Concluído,Marketplace,Cartão de crédito
52,301,2025-08-19,Concluído,Site,Cartão de crédito
53,102,2024-03-07,Cancelado,Loja física,Pix
54,464,2024-04-04,Concluído,Site,Cartão de crédito
55,26,2025-04-17,Concluído,Loja física,Cartão de débito
56,16,2025-05-23,Concluído,Loja física,Pix
57,110,2024-12-28,Concluído,Marketplace,Boleto
58,453,2025-04-01,Concluído,Site,Pix
59,152,2025-10-24,Concluído,Loja física,Cartão de débito
60,45,2024-03-03,Concluído,Loja física,Pix
61,103,2025-03-05,Cancelado,App,Cartão de crédito
62,401,2025-01-26,Cancelado,Marketplace,Cartão de débito
63,401,2025-07-11,Concluído,Marketplace,Boleto
64,139,2025-02-01,Concluído,Site,Boleto
65,113,2025-09-03,Concluído,Marketplace,Cartão de crédito
66,272,2025-04-28,Concluído,App,Pix
67,127,2024-04-12,Cancelado,App,Boleto
68,418,2025-06-30,Em andamento,Site,Pix
69,434,2025-08-12,Concluído,Marketplace,Pix
70,122,2024-06-29,Concluído,Marketplace,Boleto
71,15,2025-08-28,Cancelado,Marketplace,Pix
72,486,2025-07-30,Concluído,Loja física,Boleto
73,252,2024-06-28,Concluído,Site,Cartão de crédito
74,309,2024-08-26,Concluído,Site,Cartão de débito
75,170,2024-01-01,Concluído,App,Pix
76,368,2024-12-14,Concluído,Marketplace,Cartão de crédito
77,76,2024-01-23,Concluído,App,Cartão de crédito
78,441,2025-06-22,Concluído,Site,Boleto
79,483,2025-12-22,Cancelado,Loja física,Cartão de crédito
80,155,2024-12-10,Concluído,App,Pix
81,406,2025-03-23,Concluído,Loja física,Boleto
82,363,2024-06-27,Concluído,Marketplace,Pix
83,302,2025-11-12,Concluído,Loja física,Boleto
84,151,2025-12-06,Concluído,App,Cartão de crédito
85,486,2025-12-19,Concluído,Loja física,Cartão de crédito
86,309,2024-07-05,Concluído,App,Cartão de crédito
87,73,2025-05-23,Concluído,Site,Pix
88,164,2024-12-21,Concluído,Site,Boleto
89,6,2025-04-02,Concluído,App,Pix
90,35,2025-12-10,Concluído,Marketplace,Cartão de crédito
91,25,2024-01-02,Concluído,Loja física,Cartão de débito
92,453,2024-06-19,Concluído,Loja física,Cartão de débito
93,280,2024-12-25,Concluído,Site,Cartão de débito
94,334,2025-08-14,Em andamento,App,Pix
95,38,2025-04-07,Concluído,Marketplace,Cartão de crédito
96,134,2024-11-22,Concluído,Site,Boleto
97,455,2024-06-23,Concluído,App,Cartão de crédito
98,483,2025-07-14,Concluído,Marketplace,Cartão de débito
99,16,2025-12-22,Concluído,App,Cartão de débito
100,28,2024-06-09,Concluído,Marketplace,Pix
101,210,2024-07-13,Cancelado,Marketplace,Boleto
102,122,2024-10-31,Concluído,Site,Cartão de débito
103,282,2025-08-08,Concluído,App,Cartão de crédito
104,2,2025-01-04,Concluído,Site,Boleto
105,321,2025-11-08,Concluído,Loja física,Pix
106,14,2024-04-09,Concluído,App,Boleto
107,243,2024-03-24,Concluído,Marketplace,Cartão de débito
108,251,2025-04-27,Cancelado,Marketplace,Cartão de crédito
109,279,2025-10-19,Concluído,App,Boleto
110,190,2025-01-25,Concluído,Loja física,Cartão de crédito
111,226,2024-09-26,Concluído,Marketplace,Pix
112,289,2024-10-02,Concluído,App,Cartão de crédito
113,343,2024-03-28,Concluído,Loja física,Pix
114,32,2025-07-20,Concluído,Loja física,Cartão de débito
115,452,2025-08-09,Concluído,Loja física,Boleto
116,203,2024-03-21,Cancelado,Site,Pix
117,487,2024-05-03,Em andamento,Loja física,Pix
118,498,2024-06-20,Concluído,App,Pix
119,217,2024-02-13,Concluído,Loja física,Pix
120,76,2025-10-04,Concluído,Marketplace,Boleto
121,45,2024-03-09,Concluído,Loja física,Boleto
122,267,2024-10-09,Concluído,Site,Cartão de débito
123,213,2024-04-25,Concluído,App,Cartão de crédito
124,289,2024-04-18,Em andamento,Site,Boleto
125,451,2025-07-02,Concluído,Loja física,Boleto
126,336,2025-01-27,Concluído,Loja física,Cartão de crédito
127,142,2024-06-25,Concluído,App,Cartão de débito
128,203,2024-02-09,Concluído,App,Cartão de crédito
129,472,2025-05-01,Concluído,Marketplace,Cartão de crédito
130,419,2024-12-11,Concluído,Marketplace,Boleto
131,440,2025-05-18,Cancelado,Site,Pix
132,154,2024-05-17,Em andamento,Loja física,Boleto
133,374,2024-10-02,Concluído,Site,Pix
134,109,2025-03-28,Concluído,Loja física,Boleto
135,264,2024-02-27,Concluído,Site,Boleto
136,260,2025-12-27,Concluído,App,Cartão de crédito
137,99,2024-06-26,Concluído,Site,Pix
138,234,2024-02-03,Concluído,Marketplace,Pix
139,189,2024-10-07,Concluído,Loja física,Cartão de crédito
140,16,2025-11-28,Concluído,Marketplace,Cartão de débito
141,229,2025-08-31,Concluído,Loja física,Boleto
142,84,2024-12-18,Concluído,Site,Boleto
143,198,2024-01-29,Concluído,App,Pix
144,332,2024-08-14,Concluído,App,Boleto
145,210,2025-10-29,Concluído,Site,Cartão de crédito
146,467,2025-04-30,Concluído,App,Cartão de crédito
147,130,2024-08-17,Concluído,Marketplace,Boleto
148,459,2025-03-09,Concluído,Marketplace,Cartão de débito
149,112,2024-09-15,Concluído,Marketplace,Cartão de débito
150,53,2025-08-21,Concluído,Marketplace,Boleto
151,351,2024-11-01,Concluído,Loja física,Cartão de crédito
152,142,2024-12-10,Concluído,Marketplace,Boleto
153,336,2024-09-24,Cancelado,Marketplace,Pix
154,265,2024-06-02,Em andamento,App,Cartão de crédito
155,207,2025-09-06,Cancelado,Marketplace,Pix
156,336,2024-01-27,Concluído,Marketplace,Boleto
157,208,2025-03-04,Concluído,Site,Pix
158,372,2024-12-17,Cancelado,App,Cartão de débito
159,184,2025-11-18,Concluído,Marketplace,Pix
160,449,2025-11-04,Concluído,App,Boleto
161,242,2024-04-09,Concluído,Marketplace,Pix
162,461,2025-11-27,Concluído,Site,Pix
163,115,2024-12-29,Em andamento,Marketplace,Cartão de débito
164,191,2024-12-05,Concluído,Marketplace,Cartão de débito
165,241,2024-04-30,Concluído,Site,Cartão de débito
166,257,2024-07-18,Concluído,Loja física,Boleto
167,28,2025-02-27,Concluído,App,Pix
168,210,2024-12-16,Concluído,Loja física,Pix
169,442,2024-11-19,Cancelado,App,Cartão de crédito
170,171,2025-05-14,Concluído,App,Boleto
171,30,2025-10-11,Concluído,Loja física,Boleto
172,390,2024-08-02,Em andamento,App,Pix
173,403,2025-05-16,Em andamento,Site,Pix
174,223,2025-09-21,Concluído,Loja física,Cartão de débito
175,495,2025-03-15,Concluído,Loja física,Cartão de crédito
176,274,2024-02-08,Concluído,Marketplace,Cartão de crédito
177,388,2024-11-25,Concluído,App,Cartão de crédito
178,3,2025-11-23,Concluído,App,Pix
179,450,2025-12-11,Concluído,Marketplace,Pix
180,197,2024-04-15,Concluído,Marketplace,Pix
181,422,2024-03-07,Concluído,Marketplace,Boleto
182,373,2025-04-11,Concluído,Marketplace,Cartão de débito
183,69,2025-12-04,Concluído,Loja física,Boleto
184,85,2024-07-11,Concluído,Site,Pix
185,373,2024-08-17,Concluído,App,Cartão de crédito
186,259,2025-08-26,Concluído,Site,Boleto
187,334,2025-12-29,Concluído,Loja física,Boleto
188,320,2025-07-01,Concluído,Site,Cartão de crédito
189,429,2025-10-31,Concluído,Site,Cartão de crédito
190,228,2025-03-02,Concluído,Site,Boleto
191,360,2025-04-30,Concluído,App,Cartão de crédito
192,216,2024-11-04,Cancelado,Site,Boleto
193,311,2025-09-29,Cancelado,App,Cartão de débito
194,262,2024-04-17,Em andamento,Site,Boleto
195,402,2024-04-26,Concluído,Loja física,Pix
196,103,2025-09-15,Em andamento,Marketplace,Pix
197,361,2025-01-01,Concluído,Marketplace,Pix
198,281,2024-02-10,Concluído,App,Cartão de débito
199,121,2024-12-04,Concluído,Site,Cartão de crédito
200,428,2024-04-23,Concluído,Loja física,Pix
201,400,2024-04-02,Concluído,Site,Cartão de crédito
202,330,2024-09-19,Concluído,Loja física,Boleto
203,238,2024-09-27,Concluído,Site,Pix
204,437,2024-02-10,Concluído,Marketplace,Boleto
205,379,2025-03-12,Concluído,Site,Cartão de crédito
206,437,2024-01-10,Concluído,App,Boleto
207,458,2025-01-01,Concluído,Marketplace,Cartão de crédito
208,418,2025-01-16,Concluído,App,Cartão de crédito
209,205,2025-02-14,Concluído,Marketplace,Cartão de débito
210,436,2025-12-07,Concluído,Loja física,Pix
211,68,2024-04-25,Cancelado,Site,Pix
212,214,2024-04-16,Concluído,Loja física,Cartão de débito
213,313,2024-07-04,Concluído,Marketplace,Cartão de crédito
214,451,2025-12-01,Em andamento,App,Cartão de débito
215,58,2025-05-14,Concluído,Loja física,Cartão de crédito
216,134,2024-03-05,Cancelado,Marketplace,Cartão de crédito
217,445,2025-12-22,Cancelado,App,Boleto
218,268,2025-06-15,Cancelado,Site,Cartão de débito
219,373,2025-11-08,Concluído,Loja física,Boleto
220,347,2025-11-10,Cancelado,Loja física,Pix
221,457,2025-07-25,Concluído,Site,Cartão de crédito
222,479,2025-10-20,Concluído,Loja física,Cartão de débito
223,39,2024-06-18,Em andamento,Loja física,Boleto
224,170,2024-09-03,Concluído,Site,Pix
225,330,2025-07-17,Concluído,Loja física,Pix
226,236,2024-03-21,Concluído,Loja física,Cartão de crédito
227,229,2025-05-25,Concluído,Site,Cartão de débito
228,10,2025-10-31,Concluído,Loja física,Cartão de débito
229,286,2024-02-06,Concluído,Site,Cartão de crédito
230,494,2025-09-10,Concluído,Marketplace,Pix
231,344,2025-11-01,Concluído,Marketplace,Boleto
232,419,2024-02-25,Concluído,Loja física,Boleto
233,393,2025-07-27,Concluído,Loja física,Boleto
234,59,2025-04-08,Concluído,App,Cartão de crédito
235,182,2024-12-15,Concluído,Marketplace,Boleto
236,55,2025-12-19,Concluído,App,Cartão de débito
237,421,2024-05-23,Cancelado,Loja física,Cartão de crédito
238,313,2024-09-17,Concluído,App,Cartão de crédito
239,111,2025-02-06,Concluído,App,Boleto
240,388,2024-04-20,Concluído,Site,Cartão de crédito
241,235,2025-04-06,Cancelado,App,Cartão de débito
242,272,2024-01-05,Em andamento,Site,Cartão de débito
243,248,2025-08-22,Concluído,App,Pix
244,54,2024-05-11,Concluído,Marketplace,Cartão de débito
245,312,2025-03-04,Cancelado,App,Boleto
246,494,2025-02-11,Concluído,Marketplace,Cartão de débito
247,71,2024-05-16,Concluído,Marketplace,Boleto
248,378,2025-12-29,Concluído,App,Pix
249,320,2024-08-02,Cancelado,Marketplace,Boleto
250,68,2025-11-19,Cancelado,App,Boleto
251,60,2025-12-28,Em andamento,Marketplace,Cartão de débito
252,293,2025-08-19,Cancelado,Loja física,Boleto
253,414,2025-03-08,Concluído,Site,Cartão de crédito
254,75,2025-01-25,Concluído,Site,Pix
255,385,2024-09-30,Concluído,Marketplace,Boleto
256,430,2024-05-29,Concluído,Marketplace,Pix
257,17,2025-07-08,Concluído,Loja física,Cartão de crédito
258,445,2025-09-22,Cancelado,App,Cartão de débito
259,262,2024-08-31,Cancelado,Marketplace,Cartão de crédito
260,199,2025-01-25,Concluído,Marketplace,Cartão de crédito
261,381,2024-01-14,Concluído,App,Cartão de débito
262,467,2024-08-18,Concluído,Marketplace,Pix
263,151,2024-07-17,Concluído,App,Cartão de crédito
264,493,2024-07-10,Concluído,Site,Cartão de débito
265,220,2024-02-11,Concluído,Marketplace,Pix
266,300,2024-06-13,Concluído,Site,Boleto
267,364,2025-04-22,Concluído,Site,Pix
268,306,2024-11-26,Concluído,Marketplace,Cartão de débito
269,282,2025-08-09,Concluído,Site,Boleto
270,113,2025-06-22,Concluído,Site,Pix
271,279,2025-03-01,Concluído,Loja física,Cartão de crédito
272,114,2024-12-23,Concluído,Marketplace,Boleto
273,151,2025-01-04,Concluído,Loja física,Cartão de crédito
274,343,2024-04-27,Concluído,Loja física,Pix
275,315,2025-10-19,Concluído,App,Cartão de crédito
276,454,2025-11-29,Concluído,Loja física,Cartão de crédito
277,132,2025-01-30,Concluído,Marketplace,Cartão de crédito
278,421,2025-06-13,Em andamento,Marketplace,Cartão de débito
279,23,2025-05-13,Concluído,App,Boleto
280,43,2025-06-10,Concluído,App,Cartão de crédito
281,34,2025-10-03,Concluído,App,Cartão de débito
282,106,2024-04-16,Concluído,Loja física,Cartão de crédito
283,79,2025-12-03,Concluído,Loja física,Boleto
284,45,2024-02-08,Concluído,Site,Pix
285,286,2024-09-14,Concluído,App,Boleto
286,199,2025-02-21,Concluído,Loja física,Cartão de débito
287,9,2024-11-19,Concluído,Site,Cartão de crédito
288,369,2025-10-18,Concluído,Site,Cartão de crédito
289,435,2025-12-18,Concluído,Marketplace,Cartão de crédito
290,403,2024-10-23,Cancelado,Marketplace,Cartão de crédito
291,392,2024-10-15,Concluído,Loja física,Cartão de débito
292,16,2025-11-07,Concluído,App,Pix
293,383,2024-05-19,Concluído,Marketplace,Pix
294,347,2024-11-01,Em andamento,Marketplace,Cartão de crédito
295,448,2025-07-20,Concluído,App,Cartão de crédito
296,3,2024-02-12,Concluído,Loja física,Cartão de crédito
297,108,2024-11-08,Em andamento,Marketplace,Pix
298,464,2025-02-26,Cancelado,App,Pix
299,114,2024-07-07,Concluído,Marketplace,Pix
300,93,2024-04-27,Cancelado,Site,Cartão de débito
301,282,2025-10-22,Concluído,Marketplace,Cartão de crédito
302,51,2024-09-13,Concluído,Loja física,Boleto
303,66,2024-12-31,Cancelado,App,Cartão de crédito
304,318,2024-10-18,Concluído,App,Boleto
305,231,2025-05-12,Concluído,Marketplace,Pix
306,291,2025-08-02,Concluído,Marketplace,Cartão de débito
307,3,2024-06-21,Concluído,App,Pix
308,379,2025-12-30,Cancelado,Loja física,Boleto
309,69,2025-01-03,Cancelado,Marketplace,Cartão de débito
310,229,2025-04-18,Concluído,Marketplace,Cartão de débito
311,56,2025-07-18,Concluído,Site,Boleto
312,457,2024-05-23,Concluído,App,Boleto
313,40,2025-10-03,Em andamento,Site,Cartão de crédito
314,324,2025-06-03,Concluído,Loja física,Pix
315,283,2024-02-07,Concluído,Loja física,Pix
316,201,2025-01-09,Concluído,Marketplace,Pix
317,257,2025-04-20,Concluído,Site,Cartão de débito
318,258,2025-01-07,Concluído,App,Pix
319,72,2025-06-10,Concluído,App,Pix
320,486,2025-08-02,Concluído,App,Cartão de débito
321,21,2025-01-02,Concluído,Loja física,Pix
322,136,2024-03-05,Concluído,App,Cartão de crédito
323,106,2025-11-15,Concluído,Marketplace,Cartão de débito
324,470,2025-04-25,Concluído,Site,Cartão de crédito
325,166,2025-10-26,Concluído,Marketplace,Boleto
326,279,2025-08-15,Concluído,App,Cartão de débito
327,194,2025-10-31,Concluído,Site,Boleto
328,499,2025-01-20,Concluído,Loja física,Boleto
329,250,2024-12-19,Concluído,Site,Pix
330,85,2025-03-26,Concluído,Site,Boleto
331,77,2024-08-04,Concluído,App,Boleto
332,368,2025-09-08,Concluído,App,Cartão de débito
333,369,2024-12-04,Concluído,Loja física,Cartão de débito
334,108,2025-05-05,Concluído,App,Cartão de débito
335,125,2024-01-23,Concluído,App,Pix
336,323,2024-05-17,Concluído,Site,Pix
337,86,2024-02-27,Concluído,App,Cartão de débito
338,497,2025-09-05,Concluído,Site,Boleto
339,111,2024-03-28,Concluído,Loja física,Cartão de débito
340,113,2024-06-23,Concluído,App,Pix
341,338,2025-09-30,Concluído,Marketplace,Pix
342,176,2025-12-03,Concluído,Site,Pix
343,198,2025-01-22,Concluído,Site,Cartão de crédito
344,268,2024-07-26,Concluído,Loja física,Pix
345,50,2025-09-12,Concluído,Loja física,Cartão de crédito
346,258,2025-06-28,Em andamento,Site,Cartão de crédito
347,338,2025-05-08,Concluído,Site,Cartão de débito
348,216,2025-06-18,Concluído,Site,Cartão de débito
349,481,2024-08-22,Concluído,Loja física,Boleto
350,412,2025-08-26,Em andamento,Site,Cartão de débito
351,131,2024-05-17,Concluído,App,Cartão de crédito
352,307,2024-10-17,Concluído,Loja física,Boleto
353,3,2024-07-12,Cancelado,Site,Cartão de crédito
354,4,2025-06-16,Concluído,App,Boleto
355,186,2025-02-22,Concluído,App,Cartão de débito
356,300,2025-10-29,Concluído,Marketplace,Cartão de débito
357,188,2025-08-01,Concluído,Marketplace,Cartão de débito
358,212,2024-07-27,Concluído,Loja física,Pix
359,287,2025-01-14,Concluído,Loja física,Boleto
360,296,2024-11-10,Concluído,Loja física,Pix
361,61,2025-11-06,Em andamento,App,Cartão de débito
362,487,2025-12-17,Concluído,Site,Pix
363,206,2025-06-04,Concluído,Site,Pix
364,494,2025-02-02,Concluído,Site,Cartão de crédito
365,242,2024-05-28,Concluído,Loja física,Cartão de crédito
366,135,2024-03-06,Concluído,Marketplace,Cartão de crédito
367,20,2025-09-15,Em andamento,Loja física,Cartão de débito
368,336,2025-09-20,Concluído,Marketplace,Cartão de crédito
369,328,2024-06-28,Concluído,Loja física,Cartão de crédito
370,436,2024-07-25,Cancelado,Marketplace,Pix
371,402,2024-02-04,Concluído,App,Pix
372,19,2025-11-21,Concluído,App,Cartão de crédito
373,45,2024-06-10,Concluído,Loja física,Boleto
374,203,2025-11-16,Concluído,App,Cartão de crédito
375,36,2025-12-21,Concluído,Marketplace,Boleto
376,494,2024-12-21,Concluído,App,Pix
377,477,2025-04-10,Concluído,Site,Boleto
378,209,2024-06-28,Concluído,Site,Cartão de crédito
379,151,2025-05-30,Concluído,Site,Boleto
380,417,2025-07-04,Concluído,Marketplace,Cartão de débito
381,289,2025-01-21,Concluído,App,Boleto
382,349,2025-04-14,Concluído,Site,Cartão de débito
383,133,2024-04-29,Concluído,Loja física,Pix
384,360,2025-11-24,Concluído,Marketplace,Cartão de débito
385,265,2024-12-27,Concluído,Site,Boleto
386,148,2024-09-11,Concluído,Loja física,Boleto
387,284,2024-03-18,Concluído,Loja física,Boleto
388,112,2024-12-28,Concluído,Marketplace,Pix
389,477,2025-11-30,Concluído,Loja física,Pix
390,377,2024-08-28,Concluído,Marketplace,Pix
391,104,2024-08-22,Concluído,Marketplace,Pix
392,62,2024-04-19,Concluído,Loja física,Cartão de crédito
393,491,2025-07-08,Concluído,Loja física,Boleto
394,162,2025-09-27,Concluído,Marketplace,Cartão de débito
395,392,2024-07-06,Concluído,Marketplace,Cartão de débito
396,385,2024-08-15,Concluído,App,Cartão de crédito
397,410,2025-06-22,Concluído,Loja física,Cartão de crédito
398,178,2025-05-29,Concluído,App,Cartão de débito
399,358,2024-05-03,Concluído,Loja física,Boleto
400,5,2025-12-06,Concluído,App,Cartão de débito
401,52,2025-08-17,Concluído,Marketplace,Boleto
402,281,2024-07-10,Concluído,App,Boleto
403,491,2025-04-27,Concluído,Marketplace,Boleto
404,256,2024-07-07,Concluído,App,Cartão de débito
405,386,2025-12-18,Concluído,Marketplace,Cartão de débito
406,231,2024-10-13,Concluído,App,Pix
407,370,2024-04-12,Concluído,App,Cartão de débito
408,101,2025-01-25,Concluído,App,Cartão de débito
409,91,2024-01-10,Concluído,Loja física,Pix
410,265,2025-10-07,Concluído,Marketplace,Cartão de débito
411,129,2024-11-03,Concluído,Site,Cartão de débito
412,354,2024-04-11,Concluído,Site,Pix
413,244,2024-09-17,Concluído,Site,Cartão de débito
414,134,2024-12-08,Concluído,Marketplace,Boleto
415,11,2024-12-18,Concluído,Site,Boleto
416,494,2025-11-26,Concluído,App,Pix
417,182,2024-10-18,Concluído,Loja física,Cartão de débito
418,196,2024-03-21,Concluído,Marketplace,Cartão de débito
419,490,2025-10-08,Concluído,App,Boleto
420,324,2025-03-07,Concluído,Loja física,Cartão de crédito
421,83,2024-03-22,Concluído,App,Boleto
422,335,2024-11-20,Concluído,Marketplace,Cartão de débito
423,455,2024-10-04,Concluído,Marketplace,Cartão de débito
424,86,2025-02-27,Concluído,Site,Pix
425,339,2024-08-28,Concluído,Site,Pix
426,204,2024-06-19,Concluído,Site,Cartão de crédito
427,281,2025-04-29,Concluído,Site,Cartão de débito
428,392,2025-06-20,Concluído,Site,Boleto
429,80,2025-09-24,Concluído,Loja física,Boleto
430,127,2024-08-22,Em andamento,Marketplace,Cartão de débito
431,65,2025-10-03,Concluído,App,Cartão de crédito
432,340,2024-02-05,Concluído,Marketplace,Cartão de débito
433,500,2025-04-23,Concluído,Marketplace,Cartão de débito
434,497,2024-05-18,Cancelado,App,Cartão de débito
435,384,2025-10-08,Concluído,Loja física,Boleto
436,247,2024-12-21,Concluído,App,Cartão de crédito
437,158,2025-03-28,Concluído,Loja física,Boleto
438,156,2024-06-08,Concluído,Site,Pix
439,147,2024-12-18,Concluído,Site,Cartão de débito
440,154,2025-05-03,Concluído,Loja física,Boleto
441,119,2025-09-03,Concluído,Marketplace,Pix
442,452,2025-02-25,Concluído,Loja física,Cartão de débito
443,84,2024-09-12,Cancelado,Loja física,Cartão de débito
444,135,2024-08-13,Concluído,Loja física,Pix
445,392,2025-06-13,Concluído,Marketplace,Boleto
446,381,2025-10-26,Concluído,Marketplace,Cartão de débito
447,437,2024-07-11,Concluído,App,Pix
448,57,2024-10-23,Concluído,Loja física,Cartão de débito
449,359,2024-10-05,Concluído,Loja física,Pix
450,10,2024-11-24,Concluído,Site,Cartão de crédito
451,498,2024-07-09,Concluído,Marketplace,Boleto
452,367,2024-05-08,Concluído,Site,Pix
453,78,2024-04-02,Concluído,Loja física,Pix
454,216,2024-12-16,Concluído,Loja física,Boleto
455,357,2025-04-19,Concluído,Marketplace,Cartão de crédito
456,29,2024-05-29,Concluído,Loja física,Cartão de crédito
457,241,2025-07-10,Concluído,App,Boleto
458,425,2025-01-25,Concluído,Site,Pix
459,395,2025-01-29,Concluído,App,Cartão de crédito
460,236,2024-07-22,Em andamento,Site,Pix
461,200,2025-04-29,Cancelado,Marketplace,Boleto
462,323,2024-06-11,Em andamento,Site,Cartão de crédito
463,247,2024-09-16,Concluído,Marketplace,Pix
464,455,2025-01-04,Concluído,App,Cartão de crédito
465,325,2024-08-29,Concluído,Marketplace,Cartão de crédito
466,407,2024-06-20,Concluído,Site,Cartão de débito
467,5,2024-09-05,Concluído,Loja física,Pix
468,395,2025-01-15,Concluído,App,Pix
469,47,2025-05-26,Cancelado,Marketplace,Cartão de crédito
470,183,2024-03-02,Cancelado,App,Cartão de crédito
471,250,2024-05-08,Concluído,Marketplace,Boleto
472,376,2025-03-25,Concluído,Site,Cartão de débito
473,371,2025-01-01,Concluído,Marketplace,Cartão de crédito
474,362,2025-05-11,Concluído,Marketplace,Cartão de débito
475,291,2024-07-13,Concluído,Marketplace,Boleto
476,141,2025-04-24,Concluído,App,Cartão de crédito
477,80,2025-06-27,Concluído,Marketplace,Boleto
478,188,2025-07-08,Concluído,Site,Cartão de débito
479,453,2024-07-08,Concluído,Marketplace,Pix
480,370,2024-11-24,Concluído,Loja física,Pix
481,350,2025-06-20,Concluído,App,Boleto
482,210,2024-11-26,Cancelado,Marketplace,Cartão de crédito
483,268,2024-04-08,Cancelado,Site,Cartão de crédito
484,92,2024-05-12,Concluído,App,Cartão de crédito
485,99,2025-05-12,Concluído,Site,Cartão de débito
486,251,2025-11-04,Concluído,Marketplace,Cartão de crédito
487,114,2025-01-10,Concluído,Site,Cartão de crédito
488,336,2024-08-01,Concluído,Site,Cartão de débito
489,32,2025-10-16,Concluído,Loja física,Boleto
490,30,2025-12-26,Concluído,Marketplace,Cartão de crédito
491,428,2024-03-13,Concluído,Site,Pix
492,50,2025-06-15,Concluído,App,Cartão de débito
493,99,2024-07-13,Concluído,App,Pix
494,384,2025-07-25,Concluído,Loja física,Cartão de crédito
495,296,2025-10-15,Concluído,Loja física,Cartão de débito
496,86,2024-04-16,Concluído,Loja física,Boleto
497,81,2025-11-04,Concluído,Loja física,Boleto
498,282,2024-11-18,Concluído,Marketplace,Cartão de débito
499,221,2025-10-10,Em andamento,Marketplace,Pix
500,280,2025-07-30,Concluído,Loja física,Boleto
501,493,2025-01-03,Concluído,Loja física,Cartão de débito
502,372,2024-01-01,Concluído,Marketplace,Cartão de crédito
503,70,2025-06-14,Concluído,Site,Boleto
504,110,2024-08-15,Concluído,Site,Boleto
505,262,2025-07-20,Concluído,App,Cartão de crédito
506,236,2024-02-08,Concluído,App,Pix
507,188,2024-09-28,Concluído,App,Pix
508,416,2024-09-19,Concluído,Site,Cartão de débito
509,470,2025-08-05,Concluído,Site,Boleto
510,89,2025-05-09,Concluído,Site,Boleto
511,375,2024-02-08,Concluído,Loja física,Cartão de crédito
512,472,2024-02-27,Em andamento,Marketplace,Boleto
513,214,2025-03-20,Concluído,App,Cartão de crédito
514,399,2025-10-11,Concluído,Loja física,Cartão de crédito
515,269,2024-11-08,Concluído,Marketplace,Pix
516,258,2024-11-30,Cancelado,App,Pix
517,345,2024-02-21,Em andamento,Loja física,Cartão de débito
518,295,2025-09-01,Concluído,Site,Pix
519,149,2025-03-18,Concluído,App,Pix
520,43,2024-12-10,Concluído,Site,Cartão de débito
521,44,2024-09-25,Concluído,Loja física,Pix
522,247,2024-05-18,Concluído,App,Cartão de débito
